Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
CC[NH+](CC)CC,O=S(=O)([O-])O,CC[NH+](CC)CC.O=S(=O)([O-])O,2.553,357.35,199.272
CC[NH+](CC)CC,O=S(=O)([O-])C(F)(F)F,CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,2.485,305.15,251.27
CC[NH+](CC)CC,CC(=O)[O-],CC[NH+](CC)CC.CC(=O)[O-],2.407,255.15,161.245
CC[NH+](CC)CC,F[B-](F)(F)F,CC[NH+](CC)CC.F[B-](F)(F)F,2.577,377.45,189.005
CC[NH+](CC)CC,O=[N+]([O-])[O-],CC[NH+](CC)CC.O=[N+]([O-])[O-],2.589,388.15,164.205
CC[NH+](CC)CC,[Br-],CC[NH+](CC)CC.[Br-],2.709,512.15,182.105
CCC[NH+](CCC)CCC,O=S(=O)([O-])O,CCC[NH+](CCC)CCC.O=S(=O)([O-])O,2.562,365.15,241.353
CCC[NH+](CCC)CCC,O=S(=O)([O-])C(F)(F)F,CCC[NH+](CCC)CCC.O=S(=O)([O-])C(F)(F)F,2.637,433.15,293.351
CCC[NH+](CCC)CCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[NH+](CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.508,322.15,424.429
CCC[NH+](CCC)CCC,F[B-](F)(F)F,CCC[NH+](CCC)CCC.F[B-](F)(F)F,2.474,298.15,231.086
CCCC[NH+](CCCC)CCCC,O=S(=O)([O-])C(F)(F)F,CCCC[NH+](CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,2.603,401.15,335.432
CCCC[NH+](CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[NH+](CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.496,313.15,466.51
OCC[NH+](CCO)CCO,[F-],OCC[NH+](CCO)CCO.[F-],2.532,340.15,169.196
OCC[NH+](CCO)CCO,O=C([O-])CC(=O)O,OCC[NH+](CCO)CCO.O=C([O-])CC(=O)O,2.554,358.15,253.251
OCC[NH+](CCO)CCO,[Br-],OCC[NH+](CCO)CCO.[Br-],2.656,453.15,230.102
