Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
CCCC[NH2+]CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[NH2+]CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,315.75,2.499,410.402
CCCC[NH2+]CCCC,F[B-](F)(F)F,CCCC[NH2+]CCCC.F[B-](F)(F)F,485.95,2.687,217.059
CCCC[NH2+]CCCC,O=P([O-])(O)O,CCCC[NH2+]CCCC.O=P([O-])(O)O,371.15,2.57,227.241
CCCC[NH2+]CCCC,[Br-],CCCC[NH2+]CCCC.[Br-],563.15,2.751,210.159
C[NH+](C)C,O=S(=O)([O-])C(F)(F)F,C[NH+](C)C.O=S(=O)([O-])C(F)(F)F,423.15,2.626,209.189
C[NH+](C)C,O=[N+]([O-])[O-],C[NH+](C)C.O=[N+]([O-])[O-],428.15,2.632,122.124
CC[NH+](CC)CC,O=S(=O)([O-])O,CC[NH+](CC)CC.O=S(=O)([O-])O,357.35,2.553,199.272
CC[NH+](CC)CC,O=S(=O)([O-])C(F)(F)F,CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,305.15,2.485,251.27
CC[NH+](CC)CC,CC(=O)[O-],CC[NH+](CC)CC.CC(=O)[O-],255.15,2.407,161.245
CC[NH+](CC)CC,F[B-](F)(F)F,CC[NH+](CC)CC.F[B-](F)(F)F,377.45,2.577,189.005
CC[NH+](CC)CC,O=[N+]([O-])[O-],CC[NH+](CC)CC.O=[N+]([O-])[O-],388.15,2.589,164.205
CC[NH+](CC)CC,[Br-],CC[NH+](CC)CC.[Br-],512.15,2.709,182.105
CC[NH+](CC)CC,[Cl-],CC[NH+](CC)CC.[Cl-],517.15,2.714,137.654
CCC[NH+](CCC)CCC,O=S(=O)([O-])O,CCC[NH+](CCC)CCC.O=S(=O)([O-])O,365.15,2.562,241.353
CCC[NH+](CCC)CCC,O=S(=O)([O-])C(F)(F)F,CCC[NH+](CCC)CCC.O=S(=O)([O-])C(F)(F)F,433.15,2.637,293.351
CCC[NH+](CCC)CCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[NH+](CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,322.15,2.508,424.429
CCC[NH+](CCC)CCC,F[B-](F)(F)F,CCC[NH+](CCC)CCC.F[B-](F)(F)F,298.15,2.474,231.086
CCCC[NH+](CCCC)CCCC,O=S(=O)([O-])C(F)(F)F,CCCC[NH+](CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,401.15,2.603,335.432
CCCC[NH+](CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[NH+](CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,2.496,466.51
OCC[NH+](CCO)CCO,[F-],OCC[NH+](CCO)CCO.[F-],340.15,2.532,169.196
OCC[NH+](CCO)CCO,O=C([O-])CC(=O)O,OCC[NH+](CCO)CCO.O=C([O-])CC(=O)O,358.15,2.554,253.251
